ID,難易度,問題⒜,解答⒜,問題⒝,解答⒝,意味
G0001,1,緇衣,"しい
しえ",緇い,くろ,"1.黒色の衣服。
2.墨染めの僧衣。また、僧侶(ソウリョ)。〈漢字ペディア〉"
G0002,1,抉剔,けってき,剔る,えぐ,えぐりだすこと。隠れているものをほじくりだすこと。≒抉出〈漢字ペディア〉
G0003,1,扣門,こうもん,扣く,たた,門をたたく。敲門。〈漢辞海〉
G0004,1,倦憊,けんぱい,憊れる,つか,あきて疲れること。≒倦疲〈漢字ペディア〉
G0005,1,慙恚,ざんい,恚る,いか,はじて怒ること。≒慙憤〈漢字ペディア〉
G0006,1,諧謔,かいぎゃく,謔れる,たわむ,ちょっとした冗談。おどけ。しゃれ。ユーモア。おどけた話や言葉。≒詼諧〈漢字ペディア〉
G0007,1,嗤笑,ししょう,嗤う,わら,あざけりわらうこと。あざわらい。≒嘲笑〈漢字ペディア〉
G0008,1,截然,せつぜん,截る,き,"1.区別がはっきりしているさま。
2.切り立っているさま。〈漢字ペディア〉"
G0009,1,夥多,かた,夥しい,おびただ,非常に多いこと。おびただしいこと。〈漢字ペディア〉
G0010,1,陋巷,ろうこう,陋い,せま,せま苦しく、きたない街。〈漢字ペディア〉
G0011,1,忸怩,じくじ,忸じる,は,自分の行いをはずかしく思うようす。〈漢字ペディア〉
G0012,1,長嘶,ちょうせい,嘶く,いなな,馬などが声を引いていななく。〈漢辞海〉
G0013,1,燻蒸,くんじょう,燻す,いぶ,"1.いぶし、蒸すこと。
2.害虫などを殺すため、薬剤などでいぶすこと。〈漢字ペディア〉"
G0014,1,芟除,"さんじょ
せんじょ",芟る,か,雑草などを取り除くこと。〈漢字ペディア〉
G0015,1,吶喊,とっかん,喊ぶ,さけ,"1.大勢が大声で叫ぶこと。鬨(とき)の声をあげること。
2.大声を発しながら、敵陣に突撃すること。≒突貫〈漢字ペディア〉"
G0016,1,刪修,さんしゅう,刪る,けず,不要な語句をけずって文章を整えること。≒刪正、刪定〈漢字ペディア〉
G0017,1,儁傑,しゅんけつ,儁れる,すぐ,才徳が衆人よりすぐれていること。また、そのさまやその人。衆に秀でた人。英傑。俊彦。≒俊傑〈日本国語大辞典〉
G0018,1,剪定,せんてい,剪る,き,果樹などの発育や結実を助けたり庭木の形を整えるために、余分な枝を切ること。≒翦定〈漢字ペディア〉
G0019,1,象嵌,"ぞうがん
ぞうかん",嵌める,"は
ちりば",≒象眼〈漢字ペディア〉
G0020,1,篡逆,さんぎゃく,篡う,うば,主君を廃してその位を奪い取ること。謀叛を起こすこと。≒簒虐〈日本国語大辞典〉
G0021,1,勁草,けいそう,勁い,つよ,茎がしっかりしていて、強風にも折れない草。また、節操や意志の固い人のたとえ。〈漢字ペディア〉
G0022,1,目睹,もくと,睹る,み,目で実際に見ること。目撃。〈大辞泉〉
G0023,1,蠢動,しゅんどう,蠢く,うごめ,"≒蠢爾
1.虫がうごめくこと。≒蠢蠢
2.つまらないものが騒ぎ動くこと。〈漢字ペディア〉"
G0024,1,陞叙,しょうじょ,陞る,のぼ,≒昇叙〈漢字ペディア〉
G0025,1,菲徳,ひとく,菲い,うす,薄い徳。人間としての価値ある行いが薄いこと。≒寡徳〈漢字ペディア〉
G0026,1,均霑,きんてん,霑う,うるお,利益や恩恵をみんながひとしく受けること。恩恵が均等にいきわたること。≒均沾〈漢字ペディア〉
G0027,1,浚渫,しゅんせつ,浚う,さら,水底の泥をさらって深くすること。〈漢字ペディア〉
G0028,1,憑依,ひょうい,憑く,つ,"1.霊がのりうつること。
2.よりすがること。たのみにすること。≒馮依〈漢字ペディア〉"
G0029,1,饌米,せんまい,饌える,そな,神に供える米。供物とする洗米。供米。〈日本国語大辞典〉
G0030,1,糜爛,びらん,糜れる,ただ,"1.ただれ崩れること。
2.世の中の乱れ、人民の疲弊のはなはだしいたとえ。〈漢字ペディア〉"
G0031,1,斫断,しゃくだん,斫る,き,たちきること。≒切断〈漢字ペディア〉
G0032,1,邀撃,ようげき,邀える,むか,攻めて来る敵を、むかえ討つこと。≒迎撃〈漢字ペディア〉
G0033,1,薨去,こうきょ,薨る,みまか,昔、皇族や三位(サンミ)以上の人が死ぬこと。≒薨逝〈漢字ペディア〉
G0034,1,衛戍,えいじゅ,戍る,まも,軍隊が長い間同じ地にとどまって警備にあたること。〈漢字ペディア〉
G0035,1,攫取,かくしゅ,攫む,つか,つかみとること。手に入れること。≒獲取〈漢字ペディア〉
G0036,1,戡定,かんてい,戡つ,か,戦いに勝って、敵を平定すること。〈漢字ペディア〉
G0037,1,懿徳,いとく,懿しい,うるわ,非常にすぐれた徳。特に、女性のすぐれた品性・人格。〈漢字ペディア〉
G0038,1,佩剣,はいけん,佩びる,お,刀剣を腰につけること。また、その刀剣。帯剣。〈大辞泉〉
G0039,1,耘耕,うんこう,耘る,くさぎ,土をおこして雑草をとったり、耕したりする。農作物の手入れをすること。≒耕耘〈漢字源〉
G0040,1,呵譴,かけん,譴める,"せ
とが",きびしくしかる。とがめしかる。荷責。≒呵責、呵叱<漢辞海>
G0041,1,遒勁,しゅうけい,遒い,"つよ
ちからづよ",絵画や文章を書くときの筆の運びが力強いこと。〈漢字ペディア〉
G0042,1,竦然,しょうぜん,竦れる,おそ,恐れてこわがるさま。≒慄然〈漢字ペディア〉
G0043,1,秉燭,へいしょく,秉る,と,灯(ともしび)を手に持つこと。転じて、灯をともすころ。宵(よい)。夕方。〈漢字ペディア〉
G0044,1,貽訓,いくん,貽す,のこ,"祖先が子孫のためにのこした教え。≒遺訓、詒訓〈漢字源〉
先祖が子孫に残した教訓≒貽謀〈漢辞海〉"
G0045,1,黜陟,ちゅっちょく,黜ける,しりぞ,功績のない者をしりぞけて、功績のある者を昇官させること。〈漢字ペディア〉
G0046,1,聚斂,しゅうれん,聚める,あつ,"1.一か所にあつめてそれを取りこむこと。
2.支配者が租税を厳しく取り立てること。〈漢字ペディア〉"
G0047,1,杳渺,ようびょう,杳か,はる,奥深くかすかなさま。はるかに遠いさま。〈漢字ペディア〉
G0048,1,鑿井,さくせい,鑿つ,うが,"1.井戸を掘ること。
2.石油や温泉などを得るため、地中に深い穴を掘ること。ボーリング。"
G0049,1,覘望,てんぼう,覘く,のぞ,遠くからようすをうかがうこと。〈漢字ペディア〉
G0050,1,虧盈,きえい,虧ける,か,欠けることと満ちること。満ち欠け。≒盈虚〈漢字ペディア〉
G0051,1,覬覦,きゆ,覬む,のぞ,身分不相応のことをのぞみねがうこと。また、そのようなのぞみやもくろみ。〈漢字ペディア〉
G0052,1,瑩徹,えいてつ,瑩らか,あき,明るく透きとおっていること。澄みわたっていること。〈漢字ペディア〉
G0053,1,笞撻,ちたつ,笞つ,むちう,むちで打つこと。≒鞭撻〈漢字ペディア〉
G0054,1,嬋姸,せんけん,姸しい,うつく,あでやかで美しいさま。なよなよとして美しいさま。≒嬋娟〈漢字ペディア〉
G0055,1,勍敵,けいてき,勍い,つよ,"強い敵。強敵。≒勁敵〈日本国語大辞典〉
強敵。〈漢字源〉
強きかたき。〈字源〉"
G0056,1,燮理,しょうり,燮げる,やわら,"1.やわらげおさめること。調和させて整えること。
2.宰相が国を治めること。〈漢字ペディア〉"
G0057,1,仄日,そくじつ,仄く,かたむ,夕日。夕方のかたむいた太陽。≒斜陽〈漢字ペディア〉
G0058,1,鐫録,せんろく,鐫る,"ほ
え",心に深く刻んで記憶すること。〈漢字ペディア〉
G0059,1,崔嵬,さいかい,嵬い,たか,"1.岩石がごつごつした険しい山。
2.山や建物が、高くそびえるさま。大きくりっぱなさま。〈漢字ペディア〉"
G0060,1,愆戻,けんれい,愆る,あやま,あやまち。また、法にそむいて罪を犯すこと。〈漢字ペディア〉
G0061,1,賑恤,しんじゅつ,恤む,めぐ,貧しい者や、災害にあった者にお布施すること。≒振恤〈漢字ペディア〉
G0062,1,炷香,しゅこう,炷く,た,香をたく。〈字通〉
G0063,1,輓馬,ばんば,輓く,ひ,そりや車をひかせる馬。〈漢字ペディア〉
G0064,1,爨室,さんしつ,爨ぐ,かし,"厨房。〈字通〉
飯をたく部屋。くりや。〈漢字源〉"
G0065,1,慴伏,しょうふく,慴れる,おそ,おそれしたがうこと。おそれひれ伏すこと。≒懾伏〈漢字ペディア〉
G0066,1,躋攀,せいはん,躋る,のぼ,よじのぼること。≒攀躋〈漢字ペディア〉
G0067,1,赧顔,たんがん,赧める,あから,恥ずかしくて顔をあからめること。≒赧面、赤面〈漢字ペディア〉
G0068,1,吮疽,"せんそ
せんしょ",吮う,す,できものをすう。〈字通〉
G0069,1,饕餮,とうてつ,饕る,むさぼ,"1.金銭や飲食などをむさぼること。きわめて貪欲なこと。また、その人。
2.≒饕餮文〈日本国語大辞典〉
1.金銭や飲食をむさぼる。欲が深いさま。また、その人。
2.舜の時代の蛮族の名。
3.想像上の悪獣の名。青銅器の模様に用いた。〈漢辞海〉
1.財貨･金銭をむさぼること。
2.凶悪な者のたとえ。
3.怪獣の名。殷･周のころ、その姿を青銅器などに刻んで飾りとした。〈新漢和大字典〉
悪獣の名。古銅器の文様に饕餮文があり、おおむね器の鼻梁を中心とした虎の展開図を用いる。饕餮は虎を文様化したものであろう。〈字通〉"
G0070,1,賻儀,ふぎ,賻る,おく,"金品を贈って死者の出た家を助ける贈り物。≒賻助、賻贈、賻礼〈漢辞海〉
死者の霊前に供える金銭。香典。〈新漢和大字典〉"
G0071,1,英雋,えいしゅん,雋れる,すぐ,"才知が群を抜いてすぐれているさま。また、その人。≒英俊、英哲〈漢辞海〉
非常にすぐれている。また、そのような人。≒英俊、英哲〈漢字源〉"
G0072,1,燔書,はんしょ,燔く,や,書物に火をつけて、燃やしてしまうこと。〈漢字ペディア〉
G0073,1,屯蹇,ちゅんけん,蹇む,なや,行き詰まってなやむ。うまく行かずになやみ苦しむ。≒屯険、屯困、屯難〈漢字ペディア〉
G0074,1,遯竄,とんざん,竄れる,"かく
のが",逃げ隠れすること。どこかへ逃げうせること。≒逃竄、遁竄〈漢字ペディア〉
G0075,1,肄業,いぎょう,肄う,なら,"1.わざを習う
2.講習をいう。〈字源〉
わざをならう。≒習業〈漢字源〉
わざを習うこと。また、わざを習わすこと。〈新大字典〉"
G0076,1,麤笨,そほん,笨い,あら,あらくておおまかなこと。また、そのさま。≒粗笨〈漢字ペディア〉
G0077,1,殄滅,てんめつ,殄きる,つ,滅ぼす。絶やす。残らず滅びる。死に絶える。≒絶滅〈漢字ペディア〉
G0078,1,擺脱,はいだつ,擺く,ひら,束縛・習慣などを抜け出すこと。それらを除き去ること。〈漢字ペディア〉
G0079,1,賚賜,らいし,賚う,たま,"賚錫（らいせき）≒
1.たまう。
2.たまわりもの。〈漢辞海〉
さずけ与える。また、そのもの。≒賚錫（らいせき・らいし）〈漢字源〉
たまうこと。また、そのもの。賚錫（らいし）
たまう。たまもの。≒賚錫（らいせき）〈字源〉"
G0080,1,懿親,いしん,懿しい,うるわ,"1.関係の最も近い親族。
2.皇室の親族。〈漢辞海〉
親族間の美しい親しみ。また、親しい血族。親族の間柄。〈日本国語大辞典〉
1.近親を尊敬して、または褒めていう言葉。立派な親戚の意。
2.親族間のうるわしい情愛。〈漢字源〉"
G0081,1,搴旗,けんき,搴る,と,"敵の軍規を抜き取る。〈漢辞海〉
旗を奪い取って敵に勝つ。〈新大字典〉"
G0082,1,猜忌,さいき,猜む,"そね
ねた",人の才能などをねたみ、きらうこと。また、その気持ち。〈漢字ペディア〉
G0083,1,噬臍,ぜいせい,噬む,か,あとで後悔すること。臍(ほぞ)をかむこと。≒噬斉〈漢字ペディア〉
G0084,1,勠力,りくりょく,勠せる,あわ,協力する｡〈漢字源〉
G0085,1,擣碪,とうちん,擣つ,う,"きぬたで衣をうつ。〈字源〉
きぬたの石。〈字通〉
着物を石や木の台にのせ、棒でたたいて生地を柔らかくする。きぬたを打つ。≒擣砧、擣衣〈漢辞海〉"
G0086,1,推覈,すいかく,覈べる,しら,"いろいろとおしはかり調べること。罪状をくわしく問い調べること。〈大辞泉〉
おしきわめること。罪を取り調べること。〈新大字典〉"
G0087,1,指嗾,しそう,嗾す,そそのか,人をそそのかすこと。けしかけること。≒教唆、使嗾〈漢字ペディア〉
G0088,1,綢繆,ちゅうびゅう,綢う,まと,"1.巻きつくこと。もつれ合うこと。
2.結びしばること。〈漢字ペディア〉"
G0089,1,憔悴,しょうすい,憔れる,やつ,心痛や病気のため、やせておとろえること。やつれること。〈漢字ペディア〉
G0090,1,朝覲,ちょうきん,覲える,まみ,"1.中国で、臣下が参内して天子にお目にかかること。≒朝謁、朝見
2.天皇が、太上(ダイジョウ)天皇・皇太后の御所に行幸すること。〈漢字ペディア〉"
G0091,1,舂炊,しょうすい,舂く,"つ
うすづ","米などを臼でつくことと、飯を炊くこと。食事の用意をすることをいう。〈漢辞海〉
うすつくと、かしぐと。〈字源〉
穀物をうすでつき、飯を炊く。食事の支度をすること。〈漢字源〉"
G0092,1,褫魄,ちはく,褫う,うば,たましいをうばうこと。心を驚かすこと。〈漢字ペディア〉
G0093,1,秉彝,へいい,秉る,"と
まも",人が、天から与えられた正しい道を守ること。〈漢字ペディア〉
G0094,1,嶷立,ぎょくりつ,嶷い,たか,"高くそびえ立つ。〈漢辞海〉
ひときわ高くそびえたつ。〈漢字源〉
高くぬきんで立つ。〈字源〉"
G0095,1,窘迫,きんぱく,窘しむ,くる,敵に追いつめられくるしむこと。さしせまられくるしむこと。≒困窮〈漢字ペディア〉
G0096,1,麾扇,きせん,麾く,さしまね,軍配(グンバイ)うちわ。大将が軍隊の指揮に用いたうちわ形の道具。≒軍扇〈漢字ペディア〉
G0097,1,懋戒,ぼうかい,懋める,つと,つとめて身をつつしむこと。〈漢字ペディア〉
G0098,1,夐絶,けいぜつ,夐か,はる,"かけ隔たる。遥かに異なる。〈字通〉
1.高く、あるいは遠く隔たっているさま。
2.超絶したさま。〈漢辞海〉"
G0099,1,詆毀,ていき,詆る,そし,そしること。人を悪く言うこと。〈漢字ペディア〉
G0100,1,富贍,"ふせん
ふうせん",贍りる,た,財力や知識が富んで豊かなこと。〈漢字ペディア〉
G0101,1,婀娜,あだ,婀やか,たお,美しくしとやかなさま。また、女性の粋(いき)で色っぽいさま。〈漢字ペディア〉
G0102,1,浹洽,しょうこう,浹し,あまね,"1.すみずみまで、広くゆきわたること。
2.互いにうちとけること。やわらいでむつまじい状態になること。〈漢字ペディア〉"
G0103,1,淬礪,さいれい,淬ぐ,にら,"≒淬厲
1.刃物に焼きを入れ、とぎみがく。
2.激励する。鍛える。〈漢辞海〉
1.刃物を研ぎ鍛える。
2.転じて、自分の修養につとめる。≒礪淬、砥礪〈漢字源〉"
G0104,1,胎孕,たいよう,孕る,みごも,"子を身ごもること。妊娠。〈漢字源〉
みごもること。妊娠。〈大辞林〉
はらむ。妊娠する。〈漢辞海〉"
G0105,1,輟食,てっしょく,輟める,"や
とど","食事を中断する。悲しむさま、憤るさまをいう。〈漢辞海〉
食事を、途中でやめる。〈漢字源〉
食物を食いさしにする。〈字源〉
食物を食いさしにすること。〈新大字典〉"
G0106,1,鄙吝,ひりん,吝い,しわ,心がいやしくて、物惜しみすること。けちなこと。〈漢字ペディア〉
G0107,1,耘鋤,うんじょ,耘る,くさぎ,"1.すきやくわで土をまぜかえし、田畑を耕す。
2.国土を平定する。〈新漢和大字典〉
くさぎり、すく。〈字源〉
1.雑草を取り除く。
2.草刈りぐわ。
3.農作業。
4.国土を平定する。〈漢辞海〉"
G0108,1,奔軼,ほんいつ,軼ぎる,す,"すみやかに走りて前者に乗りこす。≒奔佚〈字源〉
奔逸する。〈字通〉"
G0109,1,劬労,くろう,劬れる,つか,苦労して働くこと。ほねおり疲れること。つかれきること。〈漢字ペディア〉
G0110,1,賚予,らいよ,賚う,たま,物をたまうこと。与えること。≒賚与〈漢字ペディア〉
G0111,1,貽謀,いぼう,貽す,のこ,子孫のためによい計画を残すこと。また、その計画。〈漢字ペディア〉
G0112,1,澆漓,ぎょうり,澆い,うす,人情が薄いこと。≒澆薄〈漢字ペディア〉
G0113,1,箴諫,しんかん,箴める,いまし,欠点を指摘していましめること。また、そのいましめ。〈漢字ペディア〉
G0114,1,搏景,はくえい,搏つ,う,「物の影をうつ」ということで、捕らえることのできないことのたとえ。また、手ごたえのないことのたとえ。≒搏影〈漢字ペディア〉
G0115,1,悁悒,えんゆう,悒える,うれ,"憂えいきどおる。≒悁邑〈漢辞海〉
心がはればれしないさま。心が結ぼれるさま。≒悁邑〈漢字源〉"
G0116,1,躋攀,せいはん,攀じる,よ,よじのぼること。≒攀躋〈漢字ペディア〉
G0117,1,勖厲,きょくれい,勖める,つと,精を出して努めはげむこと。〈漢字ペディア〉
G0118,1,禳禱,じょうとう,禳う,はら,"神を祭って、幸いを祈る。〈漢辞海〉
神をまつって災いをはらい、幸いを祈ること。〈新漢和大字典〉"
G0119,1,粥獄,いくごく,粥ぐ,ひさ,金を取って裁判を手加減すること。〈新大字典〉
G0120,1,出售,しゅっしゅう,售る,う,売る。〈字通〉
G0121,1,濬機,しゅんき,濬う,さら,河中の土砂などをさらい上げる機械。〈新大字典〉
G0122,1,夭閼,ようあつ,閼ぐ,ふさ,"ふさぎとどむ。≒夭遏、雍閼〈字源〉
さえぎる。さえぎられて中断する。〈漢辞海〉"
G0123,1,寤寐,ごび,寤める,さ,目がさめていることと、眠ること。寝てもさめても。〈漢字ペディア〉
G0124,1,愧赧,きたん,赧める,あから,深くはじて赤面すること。〈漢字ペディア〉
G0125,1,覓句,べきく,覓める,もと,"詩人が良句を探し求める。苦吟する。〈漢辞海〉
詩を作るとき、苦心して良い句を探し求めること。〈漢字源〉"
G0126,1,騁望,ていぼう,騁せる,は,楽しんで見物すること。また、思う存分に眺めること。〈漢字ペディア〉
G0127,1,遏密,あつみつ,遏める,"とど
と","1.喪中、鳴り物を停止して静かにする。
2.皇帝の喪に服す。
3.皇帝の死。〈漢辞海〉
1.諒闇の時に音楽を禁止すること。鳴物停止（なりものちょうじ）。
2.静かにさせること。〈日本国語大辞典〉"
G0128,1,懿風,いふう,懿い,よ,"立派な風習。よいならわし。〈漢辞海〉
立派な風習。よいならわし。〈漢字源〉"
G0129,1,泓量,おうりょう,泓い,ふか,"深く水かさがある。〈字源〉
深くて水かさのあること。〈漢字源〉"
G0130,1,銓衡,せんこう,銓る,はか,≒選考〈漢字ペディア〉
G0131,1,釐務,りむ,釐める,おさ,事務をおさめること。特に、国司などの執務をいう。〈日本国語大辞典〉
G0132,1,惆悵,ちゅうちょう,惆む,"うら
いた",うらみ嘆くこと。残念がり悲しむこと。また、そのさま。〈漢字ペディア〉
G0133,1,摶飯,たんぱん,摶める,まる,"飯を手でまるめる。また、握り飯。〈新漢和大字典〉
1.飯を手でまるめる。
2.握り飯。〈漢辞海〉"
G0134,1,迥迥,けいけい,迥か,はる,"遥かに遠いさま。ぽつんと遠くに孤立するさま。≒迥然
遠きさま。〈字源〉"
G0135,1,芟鋤,"さんじょ
せんじょ",芟る,か,"1.草を刈り取り、根をくわで掘り取る。
2.反乱や賊を平定すること。〈漢字源〉"
G0136,1,惻怛,そくだつ,怛む,いた,悲しみいたむこと。〈漢字ペディア〉
G0137,1,譖言,しんげん,譖る,そし,"1.悪口をいう。
2.悪口。〈漢辞海〉
そしることば。悪口のこと。〈漢字源〉"
G0138,1,盪滌,とうでき,盪う,あら,"洗い落とす。特に、悪い制度などを除き去ることを言う。〈漢辞海〉
たっぷり水をかけて洗いすすぐ。〈漢字源〉"
G0139,1,箴規,しんき,箴める,いまし,"1.いましめ。
2.いましめただす。〈字源〉
いましめ。また、いましめただす。〈漢字源〉"
G0140,1,説懌,えつえき,懌ぶ,よろこ,よろこぶこと。〈漢字ペディア〉
G0141,1,愒陰,かいいん,愒る,むさぼ,日月をむさぼる。〈字通〉
G0142,1,邀討,ようとう,邀える,むか,"むかえ撃つ。敵の来るのを待ち伏せして攻撃する。≒邀撃〈漢辞海〉
敵兵をむかえうつ。≒邀擊
敵の来そうなところに俟ちうけていて撃つ。むかえうつ。≒要撃、邀撃〈漢字源〉"
G0143,1,螫齧,せきげつ,螫す,さ,さし、かむ。〈字通〉
G0144,1,斫営,しゃくえい,斫る,き,"敵陣を攻撃する。〈漢辞海〉
不意を突いて敵の陣営にきりこむこと。〈新大字典〉"
G0145,1,賻助,ふじょ,賻る,おく,"金品を贈って死者の出た家を助ける贈り物。≒賻儀、賻贈、賻礼〈漢辞海〉
死者の家に金品をおくって葬式の助けとする。また、そのおくりもの。≒賻贈〈漢字源〉"
G0146,1,覓索,べきさく,覓める,もと,"さがしもとめる。〈新漢和大字典〉
さがす。〈字通〉
たずねもとめること。〈新大字典〉
探し求める。〈漢辞海〉"
G0147,1,荐臻,せんしん,荐りに,しき,"災いなどが、あとからあとからおこる。〈漢字源〉
災いが、次々と起こる。≒荐及〈漢辞海〉"
G0148,1,恬熙,てんき,恬らか,やす,"世がやすらか。太平無事の世。〈字源〉
静かでゆったりしていること。安らかで楽しいこと。また、そのさま。≒恬嬉〈日本国語大辞典〉"
G0149,1,韜光,とうこう,韜む,つつ,"1.光をかくして外にあらわさず。
2.転じて、才徳をかくして人に知らしめず。≒韜晦〈字源〉
1.光を隠して外に現さない。
2.才徳を人に知らさず、隠す。〈漢辞海〉
1.光を隠して外にあらわさない。
2.転じて、才徳を隠して人に知らせないこと。〈漢字源〉"
G0150,1,乂安,がいあん,乂める,おさ,世の中が治まって安らかなこと。≒艾安〈漢字ペディア〉
G0151,1,訐直,けっちょく,訐く,あば,人の悪をあばき出して、自ら正直とすること。〈新大字典〉
G0152,1,靠天,こうてん,靠る,よ,天任せ。〈字通〉
G0153,1,抃悦,べんえつ,抃つ,う,"手を打って喜ぶこと。大喜びすること。また、その喜び。〈日本国語大辞典〉
手を打ってよろこぶこと。〈新大字典〉"
G0154,1,焠鍼,さいしん,焠ぐ,にら,やきがね。〈字通〉
G0155,1,攢仄,さんそく,攢まる,あつ,"多くの音が重なるさま。〈漢辞海〉
声･音などが、幾重にも重なりあつまるさま。〈漢字源〉"
G0156,1,乖忤,かいご,忤う,さから,"≒乖互
1.相反し、矛盾したさま。食い違っている。
2.間違い。あやまち。〈漢辞海〉
もとりさからう。〈字源〉
物事が食い違ってちぐはぐである。また、食い違い。≒乖戻、乖悖〈漢字源〉"
G0157,1,覘候,てんこう,覘う,うかが,"敵の様子などをうかがい、さぐる。〈漢辞海〉
1.さぐりみる。
2.敵の様子を探偵する。≒偵伺。〈字源〉
じっと探りうかがう。ひそかに様子を調べること。〈漢字源〉"
G0158,1,凭欄,ひょうらん,凭る,よ,"欄干によりかかること。〈新大字典〉
欄干にもたれる。≒凭闌、倚欄〈字源〉"
G0159,1,豢擾,かんじょう,豢う,"やしな
か","飼いならす。〈字通〉
獣などを養ってならす。〈新漢和大字典〉
家畜を飼いならす。〈漢辞海〉"
G0160,1,擒縦,きんしょう,擒える,とら,とらえることと自由に放つこと。転じて、自在に扱うこと。〈漢字ペディア〉
G0161,1,躡蹤,じょうしょう,躡む,ふ,追跡する。〈字通〉
G0162,1,翫愒,がんかい,愒る,むさぼ,"むさぼる。〈字源〉
むさぼること。〈新大字典〉"
G0163,1,吮癰,せんよう,吮う,す,"1.こびへつらうことのたとえ。
2.親孝行のたとえ。唐の張士巌が、母の癰の血をすったという故事。〈新大字典〉
できものをすう。≒吮疽〈字通〉"
G0164,1,霾翳,ばいえい,霾る,つちふ,"巻き上げられた土砂が空をおおって暗いこと。〈新漢和大字典〉
巻き上げられた土砂が空をおおって暗いこと。〈漢字源〉
つちぐもり。〈字通〉"
G0165,1,壅遏,ようあつ,壅ぐ,ふさ,"ささへとどむ、ふさがる。≒壅塞、擁閼〈字源〉
行動を遮りとどめる。枠内に押し込める。〈漢字源〉"
G0166,1,堙塞,いんそく,堙ぐ,ふさ,"つまってふさがる。≒堙窒〈漢辞海〉
ふさがって、通じない。≒堙窒〈漢字源〉"
G0167,1,遒麗,しゅうれい,遒い,つよ,"文章に力があって美しいさま。〈漢辞海〉
つよくうるわし。〈字源〉
書･画･文書などの筆力がしっかりとしていて、美しい趣があること。〈漢字源〉"
G0168,1,逡遁,しゅんじゅん,逡く,しりぞ,決断をためらって、ぐずぐずすること。しりごみすること。≒躊躇、逡巡〈漢字ペディア〉
G0169,1,謫徙,たくし,徙す,うつ,罪によって辺境の地に移されること。〈漢字ペディア〉
G0170,1,鬯浹,ちょうしょう,浹し,あまね,"のびやかに広くゆきわたる。〈漢辞海〉
のびてあまねくゆきわたる。〈字源〉
のびのびと、広く行き渡ること。≒暢浹〈漢字源〉"
G0171,1,詬病,こうへい,詬める,はずかし,"はずかしめる。また、悪口を言う。≒詬厲〈漢辞海〉
そしりはづかしむ。≒詬厲、恥辱〈字源〉
口汚く悪口を言ってはずかしめる。≒詬厲〈漢字源〉"
G0172,1,祗役,しえき,祗む,つつし,"命令に従い、職に就く。〈漢辞海〉
つつしんで主君の命令に従う。〈漢字源〉"
G0173,1,贍恤,せんじゅつ,贍す,た,"金品を与えて救う。≒贍賑〈漢辞海〉
不足する物をめぐんで救う。〈漢字源〉"
G0174,1,詛詈,そり,詛う,のろ,"のろいののしる。〈字通〉
のろいののしる。〈字源〉"
G0175,1,贏輸,えいしゅ,贏つ,か,勝ちと負け。≒勝敗、勝負〈漢字ペディア〉
G0176,1,自售,じしゅう,售る,う,自分を売り込む。官職にありつこうとして運動すること。〈漢字源〉
G0177,1,倩粧,せんしょう,倩しい,うつく,"美しいよそおい。〈漢辞海〉
うるわしきよそおい。〈字源〉"
G0178,1,鐫題,せんだい,鐫る,"ほ
え",題記。〈字通〉
