ID,問題,難易度,解答,別答,意味
C0001,蓴鱸、郷の【オモカゲ】を見て憂う,-,俤,,"#＝面影
★人と、その弟が似ていることからできた字。「おもかげ」は「面影」の意。"
C0002,敷石の上の駛走する【クルマ】,-,俥,,"人力車。〈漢字ペディア〉
★「人がひく車」の意を表す国字。"
C0003,寒冽の地に吹く【コガラシ】に身を竦める,-,凩,,"秋の末から冬にかけて強く吹く冷たい風。〈漢字ペディア〉
★木を吹きからす風(几)の意を表す国字。また、「こがらし」は木枯らしの意。"
C0004,圉人は筵の【カマス】を佩びる,-,叺,,"穀物などを入れるのに用いる、むしろで作った袋。〈漢字ペディア〉
★口から入れる意を表す字。
★魳(ｶﾏｽ)は、カマス科の海魚の総称。"
C0005,三百七【フィート】の高塔から響く鐘の音,-,呎,,"長さの単位。約30.5センチメートル。ft。〈漢字ペディア〉
★英語の「フィート」に当てた国字。中国でも用いられている。"
C0006,罍には約二十【ガロン】の酒が入っている,-,呏,,容量の単位。1ガロンはイギリスで約4.5リットル、アメリカと日本で約3.8リットル。gal。〈漢字ペディア〉
C0007,【イリ】の口に桜が浮いている,-,圦,,堤に埋めて、用水・下水の流れを調節する樋(ﾄｲ)。水門。〈漢字ペディア〉
C0008,上州名物【カカア】天下に空っ風,-,嬶,,"#＝嚊
自分の妻または他人の妻を親しんでいう語。またぞんざいに呼ぶ語。〈大辞泉〉
★鼻息のあらい女の意からできた字。"
C0009,三度去られし十行半の【カカ】,-,嬶,,"#＝嚊
庶民階層で、妻をいう語。かかあ。〈大辞泉〉
★鼻息のあらい女の意からできた字。"
C0010,盗人に銀の【ナタ】,-,屶,,"#＝鉈
幅が広く厚い刃物に柄(ｴ)をつけたもの。まきなどを割る刃物。〈漢字ペディア〉
★「山刀(なた)」を一つに合わせた国字。"
C0011,【テ】爾乎波が合わない,-,弖,,助詞の「て」の当て字。〈漢字ペディア〉
C0012,数多の苦痛に【コラ】える,-,怺,,"#＝堪える
苦しみをがまんする。〈漢字ペディア〉"
C0013,食わせておいて【サテ】と言い,-,扨,,"#＝偖、扠
ところで。話題を改めるときの接続詞。〈漢字ペディア〉
★「扠(ｻ)」の字形の変化したものという。"
C0014,種種様様の口を【ムシ】りかける,-,挘,毟,"1.つかんだりつまんだりして引き抜く。
2.肉や魚などの身をほぐす。
3.おどして、財産などをすべて奪いとる。
4.綿などをちぎってふっくらとさせる。〈大辞泉〉
★「挘」は、手で、力ずくで少なくすることを表す国字。
★「毟」は、毛を少なくすることを表す国字。"
C0015,飛彈の工、和泉の【ソマ】,-,杣,,"1.木材を切りだす山。
2.山から切りだした木。〈漢字ペディア〉
★木をとる山を表す字。"
C0016,【マス】で量って箕でこぼす,-,枡,桝,"#＝升、斗、斛
容量をはかる正方形の器。また、そのような形をしたもの。〈漢字ペディア〉"
C0017,紡いだ糸を【カセ】に巻き取る,-,桛,綛,"つむぎ糸を巻きとる道具。〈漢字ペディア〉
★枷(ｶｾ)、械(ｶｾ)、校(ｶｾ)は、刑具の一種。"
C0018,【シキミ】を持って墓参する,-,梻,,"#＝樒(櫁)
モクレン科の常緑小高木。枝葉を仏前にそなえる。〈漢字ペディア〉
★仏(佛)にそなえる木の意を表した字。
★梱(ｼｷﾐ)、壼(ｼｷﾐ)は、門の内外を区画するために、門柱の間に敷く横木。
★軾(ｼｷﾐ)は、車の前部にある横木。"
C0019,霧中の【フモト】に陋屋一軒,-,梺,,"#＝麓、阯
山のすそ。山の下のほうの部分。〈漢字ペディア〉"
C0020,椿【クヌギ】に長木なし,-,椚,,"#＝栩、橡、櫟(檪)、櫪
ブナ科の落葉高木。〈漢字ペディア〉
★門は内外の区切りを表すので、別名「くのき」に合わせて「区(門)の木」として作った国字。"
C0021,冷水を【ハンゾウ】に汲む,-,楾,,"#＝半挿
水つぎの道具の一種。また、耳のついた小さなたらい。〈漢字ペディア〉
★胴に水を通す柄(ｴ)が挿しこんであることから。"
C0022,薄鈍の紙にて、【ムロ】の枝につけ給へり,-,榁,,ヒノキ科の常緑小高木ネズ(杜松)の古名。〈漢字ペディア〉
C0023,粗壁の中に【コマイ】竹が覗く,-,榀,,"#＝木舞
屋根や壁などの下地に組む細い竹。〈漢字ペディア〉"
C0024,二十の【オオヅツ】を積む艦船,-,熕,,"#＝大筒
大きな弾丸を発射する火器。大砲。〈漢字ペディア〉"
C0025,砲【コウ】の射撃を防ぐべし,-,熕,,★砲熕(ﾎｳｺｳ)･･･大砲。おおづつ。〈漢字ペディア〉
C0026,炬【タツ】で河豚汁,-,燵,,★炬燵(ｺﾀﾂ)･･･暖房器具の一つ。炭火などの熱源の上にやぐらをかぶせ、上を布団でおおったもの。＝火燵(ｺﾀﾂ)〈漢字ペディア〉
C0027,入港時に【トン】税を徴収する,-,瓲,噸,"#＝屯
重量の単位。1000キログラム。英語の音訳。t。〈漢字ペディア〉"
C0028,【キログラム】,-,瓩,,"重さの単位。1000グラム。kg。〈漢字ペディア〉
★「千グラム(瓦)」の意を表す字。"
C0029,【ヘクトグラム】,-,瓸,,"重さの単位。100グラム。hg。〈漢字ペディア〉
★「百瓦(グラム)」の意。"
C0030,【デカグラム】,-,瓧,,"重さの単位。10グラム。dag。〈漢字ペディア〉
★十瓦(グラム)の意を表す字。"
C0031,【デシグラム】,-,瓰,,重さの単位。10分の1グラム。dg。〈漢字ペディア〉
C0032,【センチグラム】,-,甅,,重さの単位。1グラムの100分の1。cg。〈漢字ペディア〉
C0033,【ミリグラム】,-,瓱,,"重さの単位。1000分の1グラム。mg。〈漢字ペディア〉
★「毛」は一〇〇〇分の一、「瓦」はグラムの意。"
C0034,気を揉み大根【シャク】の種,-,癪,,"1.さしこみ。胸や腹が急に痛み、けいれんを起こす病気。
2.かんしゃく(癇癪)。腹がたつこと。〈漢字ペディア〉"
C0035,【キロリットル】,-,竏,,"容量の単位。1000リットル。kl。〈漢字ペディア〉
★「千リットル(立)」の意を表す字。"
C0036,【ヘクトリットル】,-,竡,,"容量の単位。100リットル。hl。〈漢字ペディア〉
★「百立(リットル)」の意。"
C0037,【デカリットル】,-,竍,,"容量の単位。10リットル。dal。〈漢字ペディア〉
★十立(リットル)の意を表す字。"
C0038,【デシリットル】,-,竕,,容量の単位。10分の1リットル。dl。〈漢字ペディア〉
C0039,【センチリットル】,-,竰,,容量の単位。1リットルの100分の1。cl。〈漢字ペディア〉
C0040,【ミリリットル】,-,竓,,"要領の単位。1000分の1リットル。ml。〈漢字ペディア〉
★「毛」は一〇〇〇分の一、「立」はリットルの意。"
C0041,【ササラ】を擦り、鞨鼓を打つ,-,簓,,"1.田楽などに用いる民俗楽器の一種。竹を細かく裂いて束ねたもので、棒とすり合わせて音を出す。
2.竹を裂いて束ねた、洗い用具。＝筅〈漢字ペディア〉"
C0042,鮠や鯉などが獲れる【ヤナ】場,-,簗,,"#＝梁
川の中に木や竹を並べて水をせきとめ、魚を捕らえるしかけ。〈漢字ペディア〉
★「竹冠＋梁(ﾊｼ)」で、竹でつくったやなの意の国字。"
C0043,小袖の女性が【シンシ】で布を張る,-,籡,,"#＝伸子
布の染色や洗い張りのときに用いる両端に針のついた竹製のくし。〈漢字ペディア〉"
C0044,【ヌカミソ】が腐る,-,粏,,#＝糠味噌
C0045,糂【ダ】瓶一つ持たない,-,粏,,"★糂粏(ｼﾞﾝﾀﾞ)･･･1.ぬかみそ。じんだみそ。また、五斗味噌(ｺﾞﾄﾐｿ)のこと。
2.枝豆をゆでてすりつぶし、塩･酒･砂糖などで調味したもの。餅にからめたり、和(ｱ)え衣にしたりする。ずんだ。〈大辞泉〉"
C0046,鮭の切り身に塩【コウジ】を塗す,-,糀,,"#＝麴(麹)、糱、酵
米･麦･大豆などを蒸して、こうじかびを繁殖させたもの。醸造に用いる。〈漢字ペディア〉
★米に花がさいたようにはえるかびの意を表す国字。"
C0047,【ヘクトメートル】,-,粨,,"長さの単位。100メートル。hm。〈漢字ペディア〉
★「百米(メートル)」の意。"
C0048,【デカメートル】,-,籵,,"長さの単位。10メートル。dam。〈漢字ペディア〉
★十米(メートル)の意を表す字。"
C0049,紺の【カスリ】に書生下駄,-,綛,纃,"#＝絣(絣)、飛白
ところどころかすったような模様をおいた織物。また、その模様。〈漢字ペディア〉"
C0050,黒糸で【オド】した鎧,-,縅,,鎧(ﾖﾛｲ)の札(ｻﾈ)を糸または革でつづり合わせる。〈大辞泉〉
C0051,萌黄【オドシ】の鎧,-,縅,,よろいの札(ｻﾈ)(革板の小片)を糸や細い革ひもでつなぎ合わせること。また、そのもの。〈漢字ペディア〉
C0052,開通の本尊、後光は【ウン】繝彩色也,-,繧,,★繧繝(ｳﾝｹﾞﾝ)･･･同系統の色を濃いものからしだいに淡いものへ並べていく彩色法。また、そのような紋様の織物。＝暈繝〈漢字ペディア〉
C0053,黄【コウ】纈の林,-,纐,,★纐纈(ｺｳｹﾁ/ｺｳｹﾂ)･･･奈良時代に行われた絞り染めの名で、布を縫いしばって染料にひたす染色技法。インドから中国を経て日本に伝来した。〈漢字ペディア〉
C0054,有松【シボ】りの浴衣,-,纐,,"#＝絞り
「絞り染め」の略。〈大辞泉〉"
C0055,【シカ】と相違ありません,-,聢,,"#＝確と
1.はっきりとしているさま。確実でまちがいのないさま。たしかに。
2.かたく、しっかりと。また、十分に。完全に。しっかと。
3.すきまなく。びっしりと。〈大辞泉〉
★耳で定かにきくことを表す字。"
C0056,家畜に潜む【スイ】蛭,-,膵,,★膵蛭(ｽｲﾃﾂ)･･･キュウチュウ目の寄生虫。ウシ･ブタ･ヒツジなどの膵管･胆管に寄生する。人体にも入る。〈漢字ペディア〉
C0057,辻待ちの【ソリ】の馭者が佇む,-,艝,轌,"#＝橇、毳
雪や氷の上を滑らせて、人や物を運ぶ乗り物。〈漢字ペディア〉"
C0058,苧【スサ】を壁に塗り込む,-,苆,,"#＝寸莎
つた。ひび割れを防ぐため、切り刻んで壁土に混ぜるわら･紙･麻など。かべすさ。〈漢字ペディア〉
★切った草の意を表した字。"
C0059,岩石峭立せる峻嶮の【ヤチ】,-,萢,,"#＝谷地、野地、谷
沢などの湿地。やつ。〈漢字ペディア〉"
C0060,幃の中に比翼【ゴザ】を敷く,-,蓙,,"#＝茣蓙
イグサの茎などを編んで作ったむしろにへりをつけたしきもの。ござむしろ。うすべり。〈漢字ペディア〉"
C0061,磯の【アワビ】の片思い,-,蚫,,"#＝鮑、鰒
ミミガイ科の巻貝。食用。〈漢字ペディア〉
★昔は動物すべてを「虫」としたことから、虫偏がついている。「蛤(はまぐり)」「蛙(かえる)」などもその例。"
C0062,紫の銘仙、【エビ】茶の袴,-,蛯,,"#＝蝦、鰕、海老
エビ科の節足動物。〈漢字ペディア〉
★老人の腰のように曲がっていることから、この字ができた。"
C0063,皇軍に寄生する【ダニ】共,-,蟎,,"#＝壁蝨
1.ダニ目に属する節足動物の総称。
2.働かずに他人にたかって生活する、きらわれ者。〈漢字ペディア〉"
C0064,白い【ホロ】を靡かせる騎馬,-,袰,,"#＝母衣、幌
昔、よろいの背につけて矢を防いだり装飾として用いたりした布製の袋状のもの。〈漢字ペディア〉
★母衣を一つにした国字。"
C0065,石に【カミシモ】を着せたよう,-,裃,,"江戸時代の武士の礼服。〈漢字ペディア〉
★上下そろいの衣の意を表す字。"
C0066,成長に連れて着物の【ユキ】丈が短くなる,-,裄,,ゆきたけ。衣服の背縫いから袖口(ｿﾃﾞｸﾞﾁ)までの長さ。〈漢字ペディア〉
C0067,【ツマ】を取る紅白粉の女,-,褄,,着物の袵(ｵｸﾐ)のへりの部分。着物の裾(ｽｿ)の左右の両端。〈漢字ペディア〉
C0068,得意手は吊り出しや【タスキ】反り,-,襷,,"#＝手繈(手繦)
たもとや袖(ｿﾃﾞ)をたくしあげるひも。〈漢字ペディア〉"
C0069,飽かぬは君の御【ジョウ】,-,諚,,★御諚(ｺﾞｼﾞｮｳ)･･･貴人からの命令。また、お言葉。〈漢字ペディア〉
C0070,国の【オキテ】を遵守する,-,諚,,"#＝掟
1.取り決め。しきたり。多く、仲間内の決めごとをいう。
2.法律。〈漢字ペディア〉"
C0071,太子様の【オオ】せの通りに,-,諚,,"#＝仰せ
目上の人の言いつけや命令。また、お言葉。〈漢字ペディア〉"
C0072,我等は一代男、家を継ぐべき【セガレ】はなし,-,躮,,"#＝倅(伜)、悴(忰)
自分の息子の謙称。〈漢字ペディア〉
★自分の「分身」の意を表した字。"
C0073,無【シツケ】な言葉を弄する,-,躾,,"1.しつけ。身だしなみ。
2.しつける。礼儀作法を教えこむ。〈漢字ペディア〉
★身を美しくかざる意を表した字。"
C0074,弛まぬ努力が【ヤガ】て実を結ぶ,-,軈,,"まもなく。そのうち。かれこれ。〈漢字ペディア〉
★身をもってすぐに応(應)じる意を表す国字。"
C0075,明確で【スベ】りの良い言葉,-,辷,,"#＝滑る
1.なめらかに進む。
2.勢いをつけて進む。
3.ころびそうになる。
4.失敗する。〈漢字ペディア〉
★たいらなところ(一)を行くことを表す字。"
C0076,空が【トテ】も綺麗だ,-,迚,,とうてい。どうやっても。〈漢字ペディア〉
C0077,写真を撮る【トテ】高い所へ上った,-,迚,,といって。さりながら。〈漢字ペディア〉
C0078,峻峭の【サコ】に遯世する,-,逧,,山と山の間の小さな谷。はざま。〈漢字ペディア〉
C0079,【アッパレ】人間の亀鑑とすべき言行,-,遖,,"#＝天晴れ
えらい。みごとだ。りっぱな行動や態度をほめるときの語。〈漢字ペディア〉
★感動の気持ちを表す「あはれ」の転。「遖」は、南へ行くと天が晴れて明るく輝いている意の「天晴れ」を表した国字。"
C0080,金銀延ばして貧の【カザリ】職,-,錺,,"金属でかざる。〈漢字ペディア〉
★錺職(ｶｻﾞﾘｼｮｸ)･･･金属のかんざしや金具などの細かい細工をする職人。錺師。＝飾職〈漢字ペディア〉"
C0081,焼深くして荒【ニエ】のつきが烈しい,-,錵,,"#＝沸
焼きによって刀身にできる模様。〈漢字ペディア〉"
C0082,【ブリキ】製の玩具,-,錻,,"#＝鉄葉
錫(ｽｽﾞ)をめっきした薄い鉄板。〈漢字ペディア〉"
C0083,子は夫婦の中の【カスガイ】,-,鎹,,材木などの合わせ目をつなぐための、両端の曲がったくぎ。転じて、二つのものをつなぐはたらきをするもの。〈漢字ペディア〉
C0084,天の【サカホコ】,-,𫒼,金逆,"#＝逆鉾、逆矛
逆さのほこ。〈漢字ペディア〉
★⿰金逆。𫒼(Unicode:2b4bc)"
C0085,切羽【ハバキ】する,-,鎺,,"刀剣などのもとにはめる金具。〈漢字ペディア〉
★行纏(ﾊﾊﾞｷ)、脛巾(ﾊﾊﾞｷ)、脛衣(ﾊﾊﾞｷ)は、今でいう脚絆。"
C0086,一向に差【ツカ】えない,-,閊,,"#＝支える
とどこおる。さしさわる。つまる。〈漢字ペディア〉"
C0087,【トモ】絵は御家の秘紋,-,鞆,,弓を射るとき、弦が手首を打たないように、左腕につける革製の道具。〈漢字ペディア〉
C0088,白足袋の【コハゼ】を解く,-,鞐,,"#＝小鉤(小鈎)
書物の帙(ﾁﾂ:書物を保護するためのおおい)や足袋(ﾀﾋﾞ)･脚絆(ｷｬﾊﾝ)などの合わせ目をとめる爪(ﾂﾒ)形の留め具。〈漢字ペディア〉"
C0089,赤城【オロシ】が身に沁みる,-,颪,,"山からふきおろす風。〈漢字ペディア〉
★「ふき下ろす風」の意からできた字。"
C0090,鍋焼【ウン】飩で身も心も綻ぶ,-,饂,,"小麦粉をこねて薄くのばし、細く切ったものをゆでた食品。〈漢字ペディア〉
★「饂飩(ｳﾄﾞﾝ)」とも読む。"
C0091,筌や【エリ】は漁具の一つ,-,魞,,"漁具の一つ。竹簀(ﾀｹｽ)を川や湖の魚の通る所にしかけて魚を導き入れ、捕らえる装置。〈漢字ペディア〉
★魚が入ることから、この字ができた。"
C0092,【ナマズ】に瓢簞,-,魸,鯰,ナマズ科の淡水魚。池や沼にすむ。形は平たくてうろこがない。口に二対のひげがある。食用。〈漢字ペディア〉
C0093,賢し【カジカ】陸さ上がる,-,鮖,,"#＝鰍、杜父魚
〈漢字ペディア〉
★石の多い所にすむ意を表している字。"
C0094,【コノシロ】の昆布巻き,-,鮗,,"ニシン科の海魚。紡錘(ﾎﾞｳｽｲ)形で左右に平たく、背びれの後端が長い。食用。〈漢字ペディア〉
★「冬にとれる魚」の意を表す字。"
C0095,【イワナ】は痔の薬,-,鮇,,"#＝岩魚、嘉魚
サケ科の淡水魚。形はマスに似て細長い。〈漢字ペディア〉"
C0096,鯨の尾にならんより【イサザ】の頭になれ,-,𩶗,"魚尓
魚尔","ハゼ科の淡水魚。琵琶湖特産。〈漢字ペディア〉
★⿰魚尓⿰魚尔。𩶗(Unicode:29d97)
★漢検の書体では、右の「尓」の形は、「欠」の人部を「小」に変えた形で、2画目は下へ撥(ﾊ)ねている。"
C0097,【アンコウ】が粕に酔ったよう,-,鮟鱇,,アンコウ科の海魚の総称。沿岸の海底にすむ。全長一(メートル)にもおよび、大きな頭と大きく開く口をもつ。前頭部に小魚をおびきよせるための突起がある。食用。〈漢字ペディア〉
C0098,暗い顔をした【ゴリ】のような男,-,鮴,,"#＝石伏魚
カジカ･ヨシノボリ･チチブなど小形の淡水魚の別称。〈漢字ペディア〉"
C0099,【コチ】の頭には姑の知らぬ身がある,-,鮲,鯒,"#＝牛尾魚
コチ科の海魚。暖海の砂底にすむ。上下に平たく、頭と口は大きく、尾は細い。食用。〈漢字ペディア〉"
C0100,面白や【マテ】の居る穴居らぬ穴,-,鮲,,"#＝蟶
マテガイの別称。〈漢字ペディア〉"
C0101,【オオボラ】の卵巣から鱲子を作る,-,鮱,,"ボラ科の海魚。ボラの成長しきったもの。〈漢字ペディア〉
★ボラの老成したものの意味で「老」がついている。"
C0102,【ウグイ】の鮨を嗜む,-,鯎,鯏,"#＝石斑魚
コイ科の淡水魚。川や湖にすむが、海へ下るものもある。体は細長く、背は暗緑褐色で、腹は銀白色。繁殖期には腹部に三本の赤い縦じまが現れる。アカハラ。ハヤ。〈漢字ペディア〉"
C0103,【アサリ】蛤が糊売りをする,-,鯏,,"#＝蜊、浅蜊、蛤仔
マルスダレガイ科の二枚貝。浅海の砂にすむ。殻の表面に布目状のすじがある。食用。〈漢字ペディア〉"
C0104,乾物屋で【カズノコ】を購入する,-,鯑,,"#＝数の子
ニシンの卵を塩漬け、または乾燥させた食品。〈漢字ペディア〉
★「かずのこ」は鰊(かど)の子の意。"
C0105,【スバシリ】は鯔の幼魚,-,鯐,,"#＝州走、洲走
鯔(ﾎﾞﾗ)の幼魚。〈漢字ペディア〉"
C0106,【ドジョウ】の地団駄,-,鯲,,"#＝鰌、鰍、泥鰌
ドジョウ科の淡水魚。池沼や水田などにすむ。全体にぬめりがあり、体長は約一五(センチメートル)で、細長い円筒形をしている。五対の口ひげがある。食用。〈漢字ペディア〉"
C0107,金の【シャチホコ】雨曝し,-,鯱,,トラの頭に魚の体をもつ想像上の動物。また、それをかたどった城郭などの大棟(ｵｵﾑﾈ)の両端につける魔除(ﾖ)け用の飾りがわら。〈漢字ペディア〉
C0108,【シャチ】は逆叉とも言う,-,鯱,,イルカ科の哺乳(ホニュウ)動物。〈漢字ペディア〉
C0109,【ムロアジ】の干物,-,鰘,,"#＝室鰺(室鯵)
アジ科の海魚。本州中部以南の暖海にすむ。背は青く、腹は銀白色。多くは「くさや」などの干物にして食べる。〈漢字ペディア〉"
C0110,氷上の【ワカサギ】釣り,-,鰙,,"#＝若鷺、公魚
キュウリウオ科の淡水魚。全長約一五(センチメートル)。背は淡青色で、腹は銀白色。結氷した湖での穴釣りは有名。食用。〈漢字ペディア〉"
C0111,なまぐさし小水葱が上の【ハエ】の腸,-,鰙,,"#＝鮠
コイ科の淡水魚。おもに関東ではウグイ、関西ではオイカワの別称に用いる。〈漢字ペディア〉
★「はや」とも読む。"
C0112,朝餉は【ハヤ】の焼き魚,-,鰙,,"#＝鮠
コイ科の淡水魚。おもに関東ではウグイ、関西ではオイカワの別称に用いる。〈漢字ペディア〉
★「はえ」とも読む。"
C0113,【ハラカ】釣る大曲崎のうけ縄に,-,鰚,,"#＝腹赤
鮸(ﾆﾍﾞ)、または鱒(ﾏｽ)の別称という。〈漢字ペディア〉
★腹が赤いことから、「はらあか」が「はらか」に転じたもの。"
C0114,鰯と【ハタハタ】の塩汁鍋,-,鰰,鱩,"#＝燭魚、雷魚
ハタハタ科の海魚。北日本の深海にすむ。口が大きく、うろこがない。初冬、産卵のため沿岸に押し寄せるところを漁獲。食用。カミナリウオ。〈漢字ペディア〉
★かみなり(神鳴り･雷)がなるとき、よくとれる魚の意を表す国字。"
C0115,六月の【キス】は絵に描いたのでも食え,-,鱚,,キス科の海魚。〈漢字ペディア〉
C0116,【エソ】無くば鯛,-,鱛,,"#＝狗母魚
エソ科の海魚の総称。ふつうエソを指す。南日本の浅海に分布。体は細長く、鋭い歯がある。背面は黄褐色。上等なかまぼこの原料。〈漢字ペディア〉"
C0117,【アオサバ】が空に浮かんだような顔,-,𬵪,魚惠,"サバの別称。〈漢字ペディア〉
★⿰魚惠。𬵪(Unicode:2cd6a)"
C0118,【ニオ】の浮き巣,-,鳰,,"かいつぶり。水鳥の一種。〈漢字ペディア〉
★水に入る鳥の意を表す字。"
C0119,雲に梯、霞に【チドリ】,-,鵆,,"#＝千鳥
チドリ科の鳥の総称。海岸や水辺にすむ。多くは渡り鳥。足の指は三本で、左右に交差させるように歩く。〈漢字ペディア〉"
C0120,【トキ】色の美しい氷肌,-,鵇,,"#＝鴇、鴾、朱鷺、桃花鳥
トキ科の鳥。東アジアに分布。水田や湿地にすむ。全身白色で、翼と尾羽が淡紅色。顔とあしが赤く、頭に冠羽がある。くちばしは黒くて長く、下に曲がる。特別天然記念物。国際保護鳥。日本では野生のものは絶滅。〈漢字ペディア〉
★年を告げる鳥の意を表す国字。"
C0121,【イカル】来て起きよ佳き日ぞと鳴きにけり,-,鵤,,"#＝斑鳩
アトリ科の鳥。低山にすむ。体は灰色で、頭・翼・尾羽は黒色。くちばしは太くて黄色。澄んだ声で鳴く。サンコウチョウ。〈漢字ペディア〉
★「いかるが」とも読む。"
C0122,【カケス】の埋栗,-,鵥,,"#＝懸巣
カラス科の鳥。他の鳥の鳴き声をよくまねる。〈漢字ペディア〉
★巣を杯の形に懸けるように作ることから「かけす」の名がある。また、カシの実を好むので「樫鳥(ｶｼﾄﾞﾘ)」ともいう。"
C0123,する事なす事【イスカ】の嘴,-,鶍,,"#＝交喙
アトリ科の鳥。北半球の北部にすみ、秋、日本に渡来する。雄は赤褐色で、雌は黄緑色。くちばしがねじれて上下に交差しており、松の実などを食べるのに適する。〈漢字ペディア〉"
C0124,【キクイタダキ】は日本最小の鳥,-,鶎,,"#＝菊戴
ヒタキ科の小鳥。亜高山帯の針葉樹林にすみ、冬は平地に移動。背面は暗緑色。雄の頭上に、キクの花に似た黄色の羽毛がある。〈漢字ペディア〉"
C0125,螻蛄腹立つれば【ツグミ】喜ぶ,-,鶫,,"#＝鶇
ヒタキ科の鳥。晩秋、シベリアなどから大群で日本に渡来。背面は黒褐色、腹面や顔は黄白色で黒い斑点(ハンテン)がある。〈漢字ペディア〉
★「鶇」に似せて作った国字。
★「鶇」とは別字だが、同じようにツグミと読む。ツグミを書くとき国字指定の場合は「鶫」でなければならないので注意。「鶇」だとおそらく不正解。"
